variant,generic_name,mapping_type
tanzeum,albiglutide,brand/commercial
didrex,benzphetamine,brand/commercial
invokana,canagliflozin,brand/commercial
plenity,cellulose and citric acid hydrogel,brand/commercial
farxiga,dapagliflozin,brand/commercial
forxiga,dapagliflozin,brand/commercial
dapaglifozin,dapagliflozin,misspelling
tenuate,diethylpropion,brand/commercial
tenuate dospan,diethylpropion,brand/commercial
trulicity,dulaglutide,brand/commercial
dulagluide,dulaglutide,misspelling
dulaglutdie,dulaglutide,misspelling
jardiance,empagliflozin,brand/commercial
empaglifozin,empagliflozin,misspelling
steglatro,ertugliflozin,brand/commercial
bydureon,exenatide,brand/commercial
bydureon bcise,exenatide,brand/commercial
byetta,exenatide,brand/commercial
saxenda,liraglutide,brand/commercial
victoza,liraglutide,brand/commercial
liragludite,liraglutide,misspelling
liragluitide,liraglutide,misspelling
liraglutdie,liraglutide,misspelling
liragulitide,liraglutide,misspelling
liragutide,liraglutide,misspelling
adlyxin,lixisenatide,brand/commercial
lyxumia,lixisenatide,brand/commercial
belviq,lorcaserin,brand/commercial
belviq xr,lorcaserin,brand/commercial
fortamet,metformin,brand/commercial
glucophage,metformin,brand/commercial
glucophage xr,metformin,brand/commercial
glumetza,metformin,brand/commercial
riomet,metformin,brand/commercial
metfomin,metformin,misspelling
metformine,metformin,misspelling
metphormin,metformin,misspelling
metphormine,metformin,misspelling
revia,naltrexone,brand/commercial
vivitrol,naltrexone,brand/commercial
naltraxone,naltrexone,misspelling
naltroxone,naltrexone,misspelling
contrave,naltrexone/bupropion,brand/commercial
alli,orlistat,brand/commercial
xenical,orlistat,brand/commercial
orlistaat,orlistat,misspelling
orlistal,orlistat,misspelling
orlistate,orlistat,misspelling
bontril,phendimetrazine,brand/commercial
melfiat,phendimetrazine,brand/commercial
plegine,phendimetrazine,brand/commercial
prelu-2,phendimetrazine,brand/commercial
adipex,phentermine,brand/commercial
adipex-p,phentermine,brand/commercial
fastin,phentermine,brand/commercial
ionamin,phentermine,brand/commercial
lomaira,phentermine,brand/commercial
pro-fast,phentermine,brand/commercial
suprenza,phentermine,brand/commercial
fentemine,phentermine,misspelling
phenitramine,phentermine,misspelling
phentamine,phentermine,misspelling
phentemine,phentermine,misspelling
phentremine,phentermine,misspelling
qsymia,phentermine/topiramate,brand/commercial
ozempic,semaglutide,brand/commercial
ozempic oral,semaglutide,brand/commercial
rybelsus,semaglutide,brand/commercial
wegovy,semaglutide,brand/commercial
oezmpic,semaglutide,misspelling
ozemipic,semaglutide,misspelling
ozempec,semaglutide,misspelling
ozempick,semaglutide,misspelling
ozempik,semaglutide,misspelling
samaglutide,semaglutide,misspelling
semagludite,semaglutide,misspelling
semaglutde,semaglutide,misspelling
semaglutdie,semaglutide,misspelling
semaglutied,semaglutide,misspelling
semaglutíde,semaglutide,misspelling
semiglutide,semaglutide,misspelling
semoglutide,semaglutide,misspelling
wegovey,semaglutide,misspelling
wegovi,semaglutide,misspelling
wgovy,semaglutide,misspelling
imcivree,setmelanotide,brand/commercial
mounjaro,tirzepatide,brand/commercial
zepbound,tirzepatide,brand/commercial
moonjaro,tirzepatide,misspelling
mounjaroe,tirzepatide,misspelling
mounjarro,tirzepatide,misspelling
mountjaro,tirzepatide,misspelling
mountjarro,tirzepatide,misspelling
terzapatide,tirzepatide,misspelling
tirzepaatide,tirzepatide,misspelling
tirzepatdie,tirzepatide,misspelling
tirzepetide,tirzepatide,misspelling
tirzipatide,tirzepatide,misspelling
tirzpatide,tirzepatide,misspelling
tizepatide,tirzepatide,misspelling
zep bound,tirzepatide,misspelling
zepboud,tirzepatide,misspelling
qudexy xr,topiramate,brand/commercial
topamax,topiramate,brand/commercial
trokendi xr,topiramate,brand/commercial
topiramat,topiramate,misspelling
topiramite,topiramate,misspelling
topirimate,topiramate,misspelling
